study_id,Study Class,Treatment Focus (Study level),Total N Randomized,Intervention Group,Treatment Focus (Arm level),Treatment Focus Subclass (Arm level),N Completed Outcome Measurement,N Completed Outcome Measurement Detail,Publication Treatment Name,NCPTSD Treatment Name,Psychotherapy,Psychotherapy Subclass,Pharmacotherapy,Pharmacotherapy Subclass,CIH,CIH Subclass,Nonpharm Biologic,Nonpharm Cognitive Therapy,Control,Other,Collaborative Care,Format,Delivery Method,Arm N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Analysis Type,Method for Handling Missing Data,Statistical Analysis Method,Assessment Point Category,Follow-up Assessment in Weeks,Measure Score Detail,Measure Score Mean,Measure Score Standard Deviation,Measure Score Type of Variance Measure,Measure Score Variance Value or Lower Bound,Measure Score Variance Upper Bound,Score Difference from Baseline Detail,Score Difference from Baseline,Score Difference from Baseline Standard Deviation,Score Difference from Baseline 95% CI Lower Bound,Score Difference from Baseline 95% CI Upper Bound,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Diagnostic Change Definition 1,Percent Achieved Diagnostic Change Definition 1,Additional Defs of Diagnostic Change,Clinically Meaningful Response Definition 1,Percent Achieved Clinically Meaningful Response Definition 1,Additional Defs of Clinically Meaningful Response,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail  (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
sloan2012_CAPS_A_26_ITT,Psychotherapy,PTSD,46,A,PTSD,,22,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,22,Structured Clinical Interview,CAPS,CAPS,ITT,No missing data,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 6 to <12 Months,26,,,,,,,,,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS,1,,≥12 point decrease in CAPS score,1,,Community,,,1,0.65,,0.35,Accidents,,Low,"Sloan DM, Marx BP, Bovin MJ, et al. Written exposure as an intervention for PTSD: a randomized clinical trial with motor vehicle accident survivors. Behav Res Ther. 2012 Oct;50(10):627-35. doi: 10.1016/j.brat.2012.07.001. PMID: 22863540.",39268,2019
sloan2012_CAPS_A_Baseline_ITT,Psychotherapy,PTSD,46,A,PTSD,,22,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In Person,22,Structured Clinical Interview,CAPS,CAPS,ITT,No missing data,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Baseline,,,73.57,,95% CI,68.15,78.99,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.65,,0.35,Accidents,,Low,"Sloan DM, Marx BP, Bovin MJ, et al. Written exposure as an intervention for PTSD: a randomized clinical trial with motor vehicle accident survivors. Behav Res Ther. 2012 Oct;50(10):627-35. doi: 10.1016/j.brat.2012.07.001. PMID: 22863540.",39268,2019
sloan2012_CAPS_B_0_ITT,Psychotherapy,PTSD,46,B,Control,,24,,Waitlist,Waitlist,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,,,24,Structured Clinical Interview,CAPS,CAPS,ITT,No missing data,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,End of Treatment,0,,,,,,,,,,,,,Standardized mean gain,-0.14,95% CI,-0.39,0.12,p=NS,,,,,,,,Not meeting criteria for PTSD according to CAPS,0.125,,≥12 point decrease in CAPS score,0.0833,,Community,,,1,0.65,,0.35,Accidents,,Low,"Sloan DM, Marx BP, Bovin MJ, et al. Written exposure as an intervention for PTSD: a randomized clinical trial with motor vehicle accident survivors. Behav Res Ther. 2012 Oct;50(10):627-35. doi: 10.1016/j.brat.2012.07.001. PMID: 22863540.",39268,2019
sloan2012_CAPS_B_12_ITT,Psychotherapy,PTSD,46,B,Control,,24,,Waitlist,Waitlist,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,,,24,Structured Clinical Interview,CAPS,CAPS,ITT,No missing data,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 3 to <6 Months,12,,,,,,,,,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS,0.3333,,≥12 point decrease in CAPS score,0.4583,,Community,,,1,0.65,,0.35,Accidents,,Low,"Sloan DM, Marx BP, Bovin MJ, et al. Written exposure as an intervention for PTSD: a randomized clinical trial with motor vehicle accident survivors. Behav Res Ther. 2012 Oct;50(10):627-35. doi: 10.1016/j.brat.2012.07.001. PMID: 22863540.",39268,2019
sloan2012_CAPS_B_Baseline_ITT,Psychotherapy,PTSD,46,B,Control,,24,,Waitlist,Waitlist,No,Not Applicable,No,Not Applicable,No,Not Applicable,No,No,Yes,No,No,,,24,Structured Clinical Interview,CAPS,CAPS,ITT,No missing data,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.65,,0.35,Accidents,,Low,"Sloan DM, Marx BP, Bovin MJ, et al. Written exposure as an intervention for PTSD: a randomized clinical trial with motor vehicle accident survivors. Behav Res Ther. 2012 Oct;50(10):627-35. doi: 10.1016/j.brat.2012.07.001. PMID: 22863540.",39268,2019
sloan2018a_CAPS_A_12_Comp,Psychotherapy,PTSD,126,A,PTSD,,58,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 3 to <6 Months,12,,26.36,13,,,,,-9.74,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.4483,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_A_12_ITT,Psychotherapy,PTSD,126,A,PTSD,,60,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,ITT,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 3 to <6 Months,12,,26.63,13,,,,,-9.47,,,,,Cohen's d,0.82,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.45,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_A_24_Comp,Psychotherapy,PTSD,126,A,PTSD,,56,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 3 to <6 Months,24,,25.25,12.32,,,,,-10.85,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.5714,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_A_24_ITT,Psychotherapy,PTSD,126,A,PTSD,,57,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,ITT,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 3 to <6 Months,24,,25.23,13.2,,,,,-10.87,,,,,Cohen's d,0.97,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.5614,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_A_36_Comp,Psychotherapy,PTSD,126,A,PTSD,,53,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 6 to <12 Months,36,,23.47,13.54,,,,,-12.63,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.5094,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_A_36_ITT,Psychotherapy,PTSD,126,A,PTSD,,55,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,ITT,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 6 to <12 Months,36,,23.26,13.33,,,,,-12.84,,,,Change from baseline,Cohen's d,1.08,,,,p=0.001,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.5185,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_A_6_Comp,Psychotherapy,PTSD,126,A,PTSD,,59,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at <3 Months,6,,30.19,11.73,,,,,-5.91,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.3051,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_A_6_ITT,Psychotherapy,PTSD,126,A,PTSD,,62,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,ITT,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at <3 Months,6,,30.90,11.7,,,,,-5.2,,,,,Cohen's d,0.51,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.2903,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_A_60_ITT,Psychotherapy,PTSD,126,A,PTSD,,57,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,ITT,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at ≥12 Months,60,,21.11,13.47,,,,,-14.93,12.83,,,,Cohen's d,1.23,,,,p<0.001,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.6842,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_A_Baseline_Comp,Psychotherapy,PTSD,126,A,PTSD,,59,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Baseline,,,36.10,8.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_A_Baseline_ITT,Psychotherapy,PTSD,126,A,PTSD,,63,,Written exposure therapy,Written Exposure Therapy (WET),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,ITT,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Baseline,,,36.10,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_B_12_Comp,Psychotherapy,PTSD,126,B,PTSD,,37,,CPT,Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 3 to <6 Months,12,,22.95,13.73,,,,,-13.78,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.5676,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_B_12_ITT,Psychotherapy,PTSD,126,B,PTSD,,52,,CPT,Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,ITT,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 3 to <6 Months,12,,24.81,13.86,,,,,-12.29,,,,Change from baseline,Cohen's d,1.13,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.5,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_B_24_Comp,Psychotherapy,PTSD,126,B,PTSD,,34,,CPT,Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 3 to <6 Months,24,,18.97,16.12,,,,,-17.76,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.6765,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_B_24_ITT,Psychotherapy,PTSD,126,B,PTSD,,49,,CPT,Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,ITT,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 3 to <6 Months,24,,20.92,16.3,,,,,-16.18,,,,,Cohen's d,1.38,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.6122,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_B_36_Comp,Psychotherapy,PTSD,126,B,PTSD,,37,,CPT,Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 6 to <12 Months,36,,19.89,15.36,,,,,-16.84,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.6757,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_B_36_ITT,Psychotherapy,PTSD,126,B,PTSD,,51,,CPT,Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,ITT,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at 6 to <12 Months,36,,21.37,15.28,,,,,-15.73,,,,,Cohen's d,1.25,,,,p<0.001,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.6078,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_B_6_Comp,Psychotherapy,PTSD,126,B,PTSD,,37,,CPT,Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at <3 Months,6,,33.32,12.74,,,,,-3.41,,,,,,,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.2432,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_B_6_ITT,Psychotherapy,PTSD,126,B,PTSD,,54,,CPT,Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,ITT,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at <3 Months,6,,32.94,12.94,,,,,-4.16,,,,Change from baseline,Cohen's d,0.38,,,,,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.2778,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_B_60_ITT,Psychotherapy,PTSD,126,B,PTSD,,53,,CPT,Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,ITT,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Assessment at ≥12 Months,60,,19.04,14.65,,,,,-17.74,13.67,,,,Cohen's d,1.38,,,,p<0.001,,,,,,,,Not meeting criteria for PTSD according to CAPS-5,0.7358,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
sloan2018a_CAPS_B_Baseline_Comp,Psychotherapy,PTSD,126,B,PTSD,,37,,CPT,Cognitive Processing Therapy (CPT),Yes,TF,No,Not Applicable,No,Not Applicable,No,No,No,No,No,Individual,In person,63,Structured Clinical Interview,CAPS,CAPS-5,Completer,,Hierarchical linear modeling with random slopes and random intercept model; effect sizes for condition x time interaction as correlations (converted from t ratios); endpoint between-group effect sizes with Hedges' g.,Baseline,,,36.73,9.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,,0.2619,0.7381,0.4762,,0.5278,Mixed,"combat-related, rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence",Medium,"Sloan DM, Marx BP, Lee DJ, et al. A brief exposure-based treatment vs cognitive processing therapy for posttraumatic stress disorder: a randomized noninferiority clinical trial. JAMA Psychiatry. 2018 Mar 1;75(3):233-9. doi: 10.1001/jamapsychiatry.2017.4249. PMID: 29344631.",49592,2020
